ID	Command (Tiếng Việt)	Command (Tiếng Anh)	Command (Tiếng Pháp)	Command (German)	Ghi chú 
	Đừng bật quạt gió nữa	Off the fan right now 	Stoppe le ventilateur	Deaktiviere die Lüftung	
	Tắt quạt	Stop the fan 	Stoppez le ventilateur	Lüftung aus	
	Dừng quạt gió	I don't need the fan anymore. Off	Arrête la ventilation	Ich brauche die Lüftung nicht mehr	
	Thôi tắt quạt gió đi được rồi đấy	Off the fan  	Arrêtez la ventilation	Die Lüftung aus	
	Ngừng quạt gió	Fan Off	Je veux éteindre le ventilateur	Schalt die Lüftung aus	
	Ngưng quạt gió		Pouvez-vous éteindre le ventilateur pour moi?		
9	Đặt quạt gió mức X | chuyển quạt gió sang mức X | quạt gió mức X	Set fan to X	Régler ventilateur à X	Stell die Lüftung auf Stufe X ein/ Stell die Lüftung auf Stufe X 	
	Đặt quạt gió mức -2	Set fan to -2 	Réglez le ventilateur à -2	Stell die Lüftung auf Stufe -2	
	Đặt quạt gió mức 0	Set fan to 0 	Réglez le ventilateur à 0	Stell die Lüftung auf Stufe 0	
	Đặt quạt gió mức 1	Set fan to 1 	Réglez le ventilateur à 1	Stell die Lüftung auf Stufe 1	
	Đặt quạt gió mức 2	Set fan to 2	Réglez le ventilateur à 2	Stell die Lüftung auf Stufe 2	
	Chuyển quạt gió sang mức 3	Switch fan to 3	Réglez le ventilateur à 3	Stell die Lüftung auf Stufe 3	
	Quạt gió mức 4	Fan level 4	Réglez le ventilateur à 4	die Lüftung auf Stufe 4	
	Chuyển quạt gió sang mức 5	Adjust the fan to 5	Règle le ventilateur à 5	Stell die Lüftung auf Stufe 5	
	đặt quạt mức 2	Set the fan to 2	Mets le ventilateur à 2	Stell die Lüftung auf Stufe 2	
	Chuyển quạt gió sang mức 6	Change fan to 6 	Mettez le ventilateur à 6	Stell die Lüftung auf Stufe 6	
	Chuyển quạt gió sang mức 10	Change fan to 10 	Réglez le ventilateur à 10	Stell die Lüftung auf Stufe 10	
10	Tăng quạt gió | Tăng gió | Tăng tốc độ quạt gió	Increase fan	Augmenter le ventilateur	Lüfterdrehzahl erhöhen/ Erhöhe die Gebläsestufe	
	Tăng quạt gió	Increase fan	Le ventilateur plus fort	Erhöhe Gebläsestufe	
	Tăng quạt	Increase the fan	La ventilation plus forte	Erhöhe die Gebläsestufe	
	Quạt gió tăng lên	Can you please increase the fan?	Augmentez le ventilateur	Kannst du die Lüfterdrezahl erhöhen?	
	Tăng quạt gió lên đi ạ	Turn up the fan's speed for me please?	Augmente le ventilateur	Kannst du die Gebläsestufe erhöhen?	
	Tăng gió	Can you turn up the speed of the fan?	Augmente la ventilation	Gebläsestufe erhöhen	
	Quạt gió ơi tăng lên đi ạ	I want to increase the fan 	Augmentez la ventilation	Ich möchte die Gebläsestufe erhöhen	
	Giúp mình tăng quạt gió với	Speed up the fan now	Mettez le ventilateur plus fort	Lüftergeschwindigkeit erhöhen	
	Tăng quạt gió cho mình với		Je veux augmenter le ventilateur	Erhöhe Lüftergeschwindigkeit	
	Vinfast ơi tăng quạt gió cho mình với		Peux-tu augmenter le ventilateur pour moi?	Erhöhe die Lüftergeschwindigkeit	
	Hây em tăng quạt gió lên		Pouvez-vous augmenter le ventilateur pour moi?	Gebläsestufe höher	
	Quạt gió tăng lên cho mình nhé		Je veux mettre le ventilateur plus fort	Ich möchte die Lüftergeschwindigkeit erhöhen	
	Tăng gió đi ạ		Ventilateur plus fort s'il vous plait	Mach die Gebläsestufe höher	
11	Giảm quạt gió | Giảm gió | Giảm tốc độ quạt gió	Decrease fan	Diminuer la ventilation/ Baisser le ventilateur 	Lüfterdrehzahl verringern/ Senk die Gebläsestufe	
	giảm quạt gió	Decrease fan	Le ventilateur moins fort	Verringere die Lüfterdrehzahl	
	giảm gió	Decrease the fan	La ventilation moins forte	Senk die Gebläsestufe	
	Hạ quạt gió	Can you decrease the fan please?	Diminuez le ventilateur	Kannst du die Lüfterdrehzahl verringern?	
	Hạ thấp quạt gió hơn	Turn down the fan's speed for me please?	Diminue le ventilateur	Kannst du die Lüfterdrehzahl senken?	
	giảm quạt gió đi giúp mình với	Can you turn down the speed of the fan?	Diminuez la ventilation	Gebläsestufe niedriger	
	Vinfast giúp mìnhgiảm quạt gió	I want to decrease the fan 	Diminue la ventilation	Gebläsestufe weniger	
	giảm quạt	Slow down the fan now 	Baissez le ventilateur	Lüftergeschwindigkeit senken	
	hạ quạt		Baisse le ventilateur	Senk die Lüftergeschwindigkeit	
	giảm gió ngay và luôn		Baissez la ventilation	Senk bitte die Lüftergeschwindigkeit	
	Quạt gió giảm ngay bây giờ		Baisse la ventilation	Senk bitte die Gebläsestufe	
	bớt tốc độ quạt lại		Peux-tu baisser le ventilateur pour moi?	Senk die Lüftergeschwindigkeit bitte 	
	giảm bớt quạt đi		Je veux baisser la ventilation	Senk die Gebläsestufe bitte 	
12	Lấy gió trong | Gió trong	Set recirculation inside	Activer la recirculation d'air à l'intérieur	Stell die Umluft-Funktion ein	
	Lấy gió trong	Set recirculation inside	Active la recirculation d'air à l'intérieur	Stell Umluft ein	
	Mình cần gió trong	Can you set recirculation inside please?	Activez la recirculation d'air à l'intérieur	Aktiviere Umluft-Funktion	
	Bạn có thể bật gió trong được không	Can you set recirculation inside for me?	Allume la recirculation d'air à l'intérieur	Schalte Umluft ein	
	Xe có mùi khó chịu quá lấy gió trong cho tao với	I want to set recirculation inside mode	Allumez la recirculation d'air à l'intérieur	Umluft ein	
	Không khí ô nhiễm bị hút vào khoang lái lấy gió trong cho tao đi	Can you set recirculation inside mode please?	La recirculation d'air à l'intérieur	Umluft an	
	Gió trong	Please set recirulation inside now 	Mets la recirculation d'air à l'intérieur	Umluft aktivieren	
	Lấy gió trong cho mình với vinfast		Mettez la recirculation d'air à l'intérieur	Kannst du die Umluft-Funktion aktivieren	
	Gió bên trong xe		Peux-tu activer la recirculation d'air à l'intérieur?	Kannst du die Umluft-Funktion einschalten	
				Umluft-Funktion ein	
				Umluft bitte einschalten	
	gió từ bên trong xe cho tôi		Je veux activer la recirculation d'air à l'intérieur	Ich möchte Umluft aktivieren	
	chiều từ bên trong ý lấy gió đi		Pouvez-vous activer la recirculation d'air à l'intérieur?	Ich möchte Umluft einschalten	
13	Lấy gió ngoài | Gió ngoài	Set recirculation outside	Activer la recirculation de l'extérieur	Stell die Umluft-Funktion aus.	I think normally there is no function like this because this is the normal state of the car. Normally there is only a button for lấy gió trong. Thats why i translate it to turn off the function lấy gió trong 
	Lấy gió ngoài	Set recirculation outside	Active la recirculation d'air de l'extérieur	Stell die Umluft-Funktion aus.	
	Mình cần gió ngoài	Can you set recirculation outside please?	Activez la recirculation d'air de l'extérieur	Ich brauche Frischluft	
	Bạn có thể bật gió ngoài được không	Can you set recirculation outside for me?	Allume la recirculation d'air de l'extérieur	Kannst du die Umluft-Funktion auschalten	
	Xe có mùi khó chịu quá lấy gió ngoài cho tao với	I want to set recirculation outside mode	Allumez la recirculation d'air de l'extérieur	Umluft aus	
	lấy gió từ bên ngoài	Can you set recirculation outside mode please?	La recirculation d'air de l'extérieur	Umluft-Funktion aus	
	gió ngoài	Please set recirulation outside now 	Mets la recirculation d'air de l'extérieur	Bittte Umluft aus	
	Lấy gió ngoài cho mình với vinfast		Mettez la recirculation d'air de l'extérieur	Bitte Umluft-Funktion aus	
	lấy gió hướng ngoài đi		Je veux activer la recirculation d'air de l'extérieur	Schalte die Umluft-Funktion aus.	
	đổi sang lấy gió ngài xem		Peux-tu activer la recirculation d'air de l'extérieur?	Frischluft-Funktion an	
	chuyển lấy gió ngoài có đỡ hơn không nhỉ		Pouvez-vous allumer la recirculation d'air de l'extérieur?	Schalte bitte die Frischluft-Funktion an.	
14	Lấy gió tự động | Gió tự động	Set recirculation auto	Activer la recirculation d'air automatique	Stelle automatische Umluftkontrolle ein	
	Gió tự động	Set recirculation auto 	Active la recirculation d'air automatique	Stelle automatische Umluftkontrolle ein	
	Lấy gió tự động	Can you set recirculation auto please 	Activez la recirculation d'air automatique	Ich möchte die automatische Umluftkontrolle einschalten	
	Mình cần gió tự động	I want to set circulation auto 	Allume la recirculation d'air automatique	Stell Umluftkontrolle ein	
	Bạn có thể bật gió tự động được không	Can you set circulation auto for me	Allumez la recirculation d'air automatique	Umluftkontrolle ein	
	Lấy gió tự động giúp tớ với	Set recirculation auto mode please	La recirculation d'air automatique	Bitte Umluftkontrolle ein	
	Bât hệ thống thông gió tự động		Mets la recirculation d'air automatique	automatische Umluftkontrolle ein	
	tự động lấy gió đi		Mettez la recirculation d'air automatique	Schalte die automatische Umluftkontrolle ein	
	tự động mà điều chỉnh gió đi		Je veux activer la recirculation d'air automatique	Stell automatische Umluftkontrolle ein	
	không cần chỉnh gì đâu tự động mà lấy gió		Pouvez-vous activer la recirculation d'air automatique?	automatische Umluftkontrolle einschalten	
	chế độ lấy gió tự động đâu		Pouvez-vous allumer la recirculation d'air automatique?	Bitte automatische Umluftkontrolle ein	
15	Bật lọc khí	Turn on air ionizer | Ioniser on	Activer le filtre à air / Allumer le filtre à air 	Schalte den Luftfilter ein/ Aktivier den Luftfilter	
	Bật lọc khí	Turn on air ionizer 	Active le filtre à air 	Schalte den Luftfilter ein	
	lọc khí	can you turn on air ionizer please	Activez le filtre à air	Aktivier den Luftfilter	
	Mở máy lọc khí cho xe đi giúp mình với cậu	can you turn on air ionizer for me	Allumez le filtre à air 	Hilf mir beim Einschalten des Luftfilters	
	Hãy giúp tao bật lọc khí với	Ioniser on please	Allume le filtre à air	Mach den Luftfilter an	
	Tao cần bật hệ thống lọc khí	Switch on air ionizer 	Filtrez l'air	Filter die Luft	
	lọc ion		Filtre ion	Luftfilter an	
	lọc khi cho xe đi bụi quá trời		Filtre l'air	Ich brauche den Luftfilter	
	thời tiết có vẻ ô nhiễm đấy lọc khí cho xe đi		Je veux activer le filtre à air 	Ich möchte den Luftfilter einschalten	
	lọc khí đi em		Peux-tu activer le filtre à air?	Luftfilter an bitte	
	Ơ không lọc khí à bật lọc khí lên đi		Pouvez-vous allumer le filtre à air?	Kannst du den Luftfilter einschalten	
16	Tắt lọc khí | ngừng lọc khí | dừng lọc khí	Turn off air ionizer | Ioniser off	Désactiver le filtre à air / Éteindre le filtre à air 	Schalte den Luftfilter aus/ Deaktivier den Luftfilter	
	Tắt lọc khí	Turn off air ionizer 	Désactive le filtre à air	Schalte den Luftfilter aus	
	ngừng lọc khí	can you turn off air ionizer please	Désactivez le filtre à air 	Deaktiviere den Luftfilter	
	ngưng lọc khí	can you turn off air ionizer for me	Éteins le filtre à air 	Hilf mir beim Ausschalten des Luftfilters	
	dừng lọc khí	Ioniser off please	Éteignez le filtre à air 	Mach den Luftfilter aus	
	Bỏ lọc khí	Switch off air ioniser	Stoppe le filtre à air 	Hör auf, die Luft zu filtern	
	Tắt máy lọc khí		Stoppez le filtre à air 	Ich brauche den Luftfilter nicht mehr	
	Dừng mở máy lọc khí		Arrête le filtre à air 	Stopp den Luftfilter	
	Ngừng mở máy lọc khí		Arrêtez le filtre à air 	Ich möchte den Luftfilter ausschalten	
	không cần lọc khí nữa đâu		Je veux désactiver le filtre à air 	Luftfilter aus bitte	
	tắt đi không cần lọc khí nữa đâu		Pouvez-vous éteindre le filtre à air ?	Kannst du den Luftfilter ausschalten	
17	Bật sấy cửa kính trước | Bật sấy kính trước | sấy kính trước	Turn on front defroster | Turn on front defogger | Defrost om | Demist on | Defog on	Allumer le dégivreur du pare-brise / Activer le dégivreur du pare-brise / Allumer le désembuage avant / Activer le dégivrage avant	Schalte Frontscheibenheizung ein/ Aktiviere Frontscheibenheizung	
	Bật sấy cửa kính trước	Turn on front defroster  	Allume le dégivreur du pare-brise	Schalte die Frontscheibenheizung ein	
	Bật sấy kính trước	Can you turn on front defroster please	Allumez le dégivreur du pare-brise	Aktiviere die Frontscheibenheizung	
	Sấy kính trước	Please turn on front defroster 	Active le dégivreur du pare-brise	Frontscheibenheizung an	
	Mở sấy kính trước	Hey Vinfast, turn on front defogger 	Activez le dégivreur du pare-brise	Mach die Scheibenheizung an	
	Mở sấy kính trước	Defog on please 	Allume le désembuage	Ich brauche die Scheibenheizung	
	Thực thi sấy kính trước	Demist on 	Allumez le désembuage avant	Scheibenheizung an	
	Mở chế độ sấy kính trước đi bạn hiền	I want to turn on front defroster	Active le dégivrage avant	Frontscheibenheizung an bitte	
	Vinfast giúp tao mở sấy kính trước		Activez le dégivrage avant	Hilf mir beim Einschalten der Frontscheibenheizung	
	Tôi cần bạn mở giúp sấy cửa kính trước		Dégivrez le pare-brise	Ich möchte die Frontscheibenheizung einschalten	
	Mở chức năng sấy cửa kính trước lên cho tôi xem nào		Dégivre le pare-brise	Kannst du die Frontscheibenheizung einschalten	
18	Tắt sấy cửa kính trước | Tắt sấy kính trước | dừng sấy kính trước	Turn off front defroster| Turn off front defogger | Defrost off | Demist off | Defog off	Éteindre le dégivreur du pare-brise/  Désactiver le dégivreur du pare-brise/ Désactiver le dégivrage du pare-brise/ Stopper le désembuage avant / Désactiver le dégivrage avant	Schalte Frontscheibenheizung aus/ Deaktiviere Frontscheibenheizung	
	Tắt sấy cửa kính trước	Turn off front defroster 	Éteins le dégivreur du pare-brise	Schalte die Frontscheibenheizung aus	
	Tắt sấy kính trước	turn off front defroster please 	Éteignez le dégivreur du pare-brise	Deaktiviere die Frontscheibenheizung	
	Dừng sấy kính trước	can you switch off front defroster please 	Désactive le dégivreur du pare-brise	Deaktiviere die Scheibenheizung	
	Dừng sấy cửa kính trước	Hey Vinfast, turn off front defogger 	Désactivez le dégivreur du pare-brise	Mach die Scheibenheizung aus	
